db-2,fo-2,0.000000
fo-2,rh-1,1.000000
fo-1,ik-4,0.000000
ik-1,ik-2,1.000000
ik-2,ik-3,1.000000
fo-1,st-2,0.500000
db-3,fo-2,0.500000
fo-2,rh-3,0.000000
ik-4,rh-2,0.000000
db-1,db-3,0.000000
ca-1,ca-2,1.000000
ca-1,st-2,1.000000
ik-3,rh-2,0.000000
ik-3,rh-1,0.500000
ca-2,st-2,1.000000
db-2,rh-3,0.000000
fo-1,ik-3,0.500000
fo-2,st-1,0.000000
rh-1,rh-2,1.000000
ik-3,ik-4,0.000000
ca-1,db-1,0.500000
fo-1,st-3,0.000000
ca-1,st-1,1.000000
ca-2,rh-2,0.000000
db-1,ik-1,0.000000
db-3,st-3,1.000000
ik-4,rh-3,0.000000
db-2,ik-4,1.000000
fo-2,ik-1,0.000000
fo-1,rh-2,1.000000
ik-1,ik-3,1.000000
db-1,rh-1,1.000000
ca-2,ik-3,1.000000
ca-1,ik-4,0.000000
ik-2,st-3,0.000000
ca-2,db-3,1.000000
st-1,st-3,0.000000
db-1,fo-1,1.000000
db-2,st-2,1.000000
ca-2,fo-2,0.000000
